BugFixedCommit,BugFixedHashId,BugInducedHashId
JCR-3001,3d9f464ec,"5d7085608,cbf563901,2fc7e19fa"
JCR-3702,88d8932cc,61b4cab9e
JCR-2882,026e0ea05,"29dee6504,586d95622"
JCR-3236,01527d4f4,10e0a6242
JCR-2408,"a0f7e8c39,e53b2b46e,90cb3942d","d4ce93343,655cdaf27,562787a80,e4724ee78,79d79a9ed,dbac11d37"
JCR-2336,86aec07d7,"d4ce93343,655cdaf27,562787a80,e4724ee78,79d79a9ed,dbac11d37"
JCR-2410,8e3f3adc8,080a945fd
JCR-2577,67f8d5fc4,"ad78897a9,a8e4aaaa4"
JCR-4149,a04402227,c3784a4fe
JCR-2778,8e5158194,"3c8e9348d,20d58af3a,dd3d4a887,50d637d2d,44371a264,f10b93a7a,6ce0a4fde,6b47c3bcb,a41c89de9,cae479627,5dfc5eb0a,a81c232c6,b06a39ab8,7120efbe5,6b655748b,5d4c5cbab,83a06823d,f5b203342,5d1c6de98,cf163ecc9,ab35f3fe4,c01565fd5,21da55c3b,56ede5e6f,c0e9f65e8,ae9ce4422,424432d82,7ad2646b5,136ecf2c2,d94801d81,e6ac66c56,675edd3e6,cd189736d,234544453,0b61249d5,7ea09b989,7a496a15c,ba55cae2a,cb51a94a9,d80473e9f,83ebe17db,fa85337b9,998a48b3e"
JCR-3419,"9238a10c8,87b6fd006",ff9b8ddba
JCR-2613,faddd2e6e,"c847a278a,682b2cea4,818cb1017"
JCR-3692,ca6206418,61b4cab9e
JCR-3992,b600b4129,"b600b4129,a07fe82df"
JCR-4118,6438f47ce,"accf46005,7bab38678,6a4e7934d,88b1ed849,595ce145d,1da3c12b6"
JCR-2960,94b773606,"419a87f81,58e678a98,e1648fbfe,ec21f9dc4,6ecd8cd9a,99441b4c4,6316c0165,b9ebc611f,d5ca273c1,cd9955ab8,cb28abe71,170b9fb16,4f5bbc88f,bb3404d5e,18aa2d249,21db8911e,863b8a802,2c2b5e758,5ef87c5b3,987724d4f,21afb4734,b3e7a9f04"
JCR-3063,"7cefcc61b,cefb2db2d,1cf1f0305,893e5b557,00a0eb49b",6aa1d34ba
JCR-4060,7065e86a9,139dfbacf
JCR-1766,49f2e4523,93b807537
JCR-2222,c10fd21b4,e903da2ca
JCR-2385,5246817b8,"fcc22070e,f7cbbbb38,5650c30c4,76213e083"
JCR-2413,6c27dbc86,bff7f1d1d
JCR-2449,f2e0df04d,"5801842a5,f2e0df04d"
JCR-2755,991a0b8b2,"546fe0d4e,57af874d3"
JCR-2813,202b72515,"1499a7d69,8b5e23c68,eb5e89c6a,8fef25bb9,db96691f5,e252867dd,a38a6e9a1,0ce55f768,234b3d229,71ee8c249,7ffbf5f7a,513be034c,e0d4ef110,28c289b3c,197c7f88c,7ce5cd960,e40b8bfde,791fd7fa4,e4e9a0d9b,13fbafe3c,d56fe5672,ff9e0d5d9,8e3c09e54,c7a049b30,2f835e577,1250f300d,1f011880b,fa8aa0e70,05678cdda,6589f8a7f"
JCR-3427,34cf01844,"c5c7bd1bd,34cf01844"
JCR-3450,6e98f5b30,"ffc6210b9,efdbae3c1"
JCR-3915,8393c6dae,e7d1b679b
JCR-1240,8ff11acca,"9933371ac,85be64445,c1c5d2ecd"
JCR-2967,84bffdac2,cfca91590
JCR-3194,2c038866b,"a55e54abf,606069f50,6475aa521"
JCR-3751,082f8388e,"2cd26dea2,a5fedd9dc"
JCR-3839,0bc2d8530,aff4f1835
JCR-4009,"283df6f10,09393f938","53a977032,e3d9ab204,283df6f10"
JCR-892,"5f0485ced,fe2cb1763","96542ee5a,d33e5ce11,b194534a1,65e4aae32,4d967c83e,9c90fd5c4"
JCR-1979,"64c739f4f,a5cad8bd2",84ec4222e
